model,think,tool_filter,prompt_style,cond,host,jobid,solve_succ,solve_ci_lo,solve_ci_hi,solve_tool_sel,solve_trunc,validate_domain_succ,validate_domain_ci_lo,validate_domain_ci_hi,validate_domain_tool_sel,validate_domain_trunc,validate_problem_succ,validate_problem_ci_lo,validate_problem_ci_hi,validate_problem_tool_sel,validate_problem_trunc,validate_plan_succ,validate_plan_ci_lo,validate_plan_ci_hi,validate_plan_tool_sel,validate_plan_trunc,simulate_succ,simulate_ci_lo,simulate_ci_hi,simulate_tool_sel,simulate_trunc,chain_L2_succ,chain_L2_ci_lo,chain_L2_ci_hi,chain_L3_succ,chain_L3_ci_lo,chain_L3_ci_hi,chain_L4_succ,chain_L4_ci_lo,chain_L4_ci_hi,chain_L5_succ,chain_L5_ci_lo,chain_L5_ci_hi,st_mean,total_n
Qwen3_5_0_8B,off,-,-,no-tools,rtx,17178995,0.0,0.0,0.0714,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50
Qwen3_5_0_8B,off,all,guided,tools,rtx,17137995,0.18,0.0977,0.308,0.94,0.12,0.46,0.3297,0.596,0.86,0.16,0.1,0.0435,0.2136,0.82,0.2,0.08,0.0315,0.1884,0.74,0.28,0.04,0.011,0.1346,0.56,0.3,0.03,0.0103,0.0845,0.05,0.0215,0.1118,0.01,0.0018,0.0545,0.02,0.0055,0.07,0.172,250
Qwen3_5_0_8B,off,all,minimal,tools,rtx,17137995,0.04,0.011,0.1346,0.92,0.1,0.24,0.143,0.3741,0.98,0.02,0.04,0.011,0.1346,0.88,0.16,0.02,0.0035,0.105,0.86,0.2,0.0,0.0,0.0714,0.6,0.26,0.03,0.0103,0.0845,0.0,0.0,0.037,0.01,0.0018,0.0545,0.0,0.0,0.037,0.06799999999999999,250
Qwen3_5_0_8B,off,per-task,guided,tools,rtx,17137995,0.18,0.0977,0.308,0.94,0.12,0.76,0.6259,0.857,0.78,0.22,0.42,0.2937,0.5577,0.6,0.4,0.12,0.0562,0.2381,0.4,0.58,0.06,0.0206,0.1622,0.22,0.78,0.08,0.0411,0.15,0.06,0.0278,0.1248,0.01,0.0018,0.0545,0.03,0.0103,0.0845,0.308,250
Qwen3_5_0_8B,off,per-task,minimal,tools,rtx,17137995,0.28,0.1747,0.4167,0.94,0.14,0.56,0.4231,0.6884,0.78,0.22,0.2,0.1124,0.3304,0.82,0.2,0.08,0.0315,0.1884,0.74,0.32,0.02,0.0035,0.105,0.32,0.62,0.08,0.0411,0.15,0.04,0.0157,0.0984,0.02,0.0055,0.07,0.03,0.0103,0.0845,0.22800000000000004,250
Qwen3_5_0_8B,on,all,guided,tools,rtx,17137995,0.18,0.0977,0.308,0.84,0.52,0.4,0.2761,0.5382,0.66,0.5,0.16,0.0834,0.2851,0.4,0.74,0.0,0.0,0.0714,0.46,0.78,0.02,0.0035,0.105,0.38,0.76,0.05,0.0215,0.1118,0.02,0.0055,0.07,0.0,0.0,0.037,0.0,0.0,0.037,0.152,250
Qwen3_5_0_8B,on,all,minimal,tools,rtx,17137995,0.1,0.0435,0.2136,0.94,0.44,0.38,0.2586,0.5185,0.56,0.5,0.12,0.0562,0.2381,0.54,0.64,0.02,0.0035,0.105,0.48,0.76,0.0,0.0,0.0714,0.42,0.68,0.01,0.0018,0.0545,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.124,250
Qwen3_5_0_8B,on,per-task,guided,tools,rtx,17137995,0.18,0.0977,0.308,0.86,0.54,0.36,0.2414,0.4986,0.36,0.64,0.08,0.0315,0.1884,0.24,0.82,0.02,0.0035,0.105,0.26,0.86,0.04,0.011,0.1346,0.24,0.84,0.01,0.0018,0.0545,0.01,0.0018,0.0545,0.0,0.0,0.037,0.0,0.0,0.037,0.13599999999999998,250
Qwen3_5_0_8B,on,per-task,minimal,tools,rtx,17137995,0.16,0.0834,0.2851,0.88,0.5,0.4,0.2761,0.5382,0.42,0.58,0.16,0.0834,0.2851,0.36,0.78,0.16,0.0834,0.2851,0.56,0.7,0.0,0.0,0.0714,0.5,0.76,0.04,0.0157,0.0984,0.03,0.0103,0.0845,0.0,0.0,0.037,0.0,0.0,0.037,0.176,250
Qwen3_5_27b,off,-,-,no-tools,rtx,17178997,0.52,0.3851,0.652,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,50
Qwen3_5_27b,off,all,guided,tools,rtx,17178989,1.0,0.9286,1.0,1.0,0.0,0.8,0.6696,0.8876,0.8,0.2,0.5,0.3664,0.6336,0.5,0.5,0.3,0.191,0.4375,0.3,0.7,0.54,0.404,0.6703,0.6,0.44,0.37,0.2818,0.4678,0.41,0.3187,0.508,0.28,0.2014,0.3749,0.28,0.2014,0.3749,0.628,250
Qwen3_5_27b,off,all,minimal,tools,rtx,17178988,1.0,0.9286,1.0,1.0,0.02,0.8,0.6696,0.8876,0.8,0.2,0.5,0.3664,0.6336,0.5,0.5,0.24,0.143,0.3741,0.3,0.74,0.54,0.404,0.6703,0.7,0.32,0.34,0.2546,0.4372,0.37,0.2818,0.4678,0.27,0.1927,0.3643,0.27,0.1927,0.3643,0.616,250
Qwen3_5_27b,off,per-task,guided,tools,rtx,17178987,1.0,0.9286,1.0,1.0,0.0,0.8,0.6696,0.8876,0.8,0.2,0.5,0.3664,0.6336,0.5,0.5,0.3,0.191,0.4375,0.3,0.7,0.42,0.2937,0.5577,0.62,0.46,0.35,0.2636,0.4475,0.39,0.3002,0.488,0.28,0.2014,0.3749,0.3,0.2189,0.3959,0.604,250
Qwen3_5_27b,off,per-task,minimal,tools,rtx,17137996,1.0,0.9286,1.0,1.0,0.0,0.8,0.6696,0.8876,0.8,0.2,0.5,0.3664,0.6336,0.5,0.5,0.3,0.191,0.4375,0.3,0.7,0.5,0.3664,0.6336,0.7,0.38,0.36,0.2727,0.4576,0.39,0.3002,0.488,0.28,0.2014,0.3749,0.29,0.2101,0.3854,0.62,250
Qwen3_5_27b,on,all,guided,tools,rtx,17137996,1.0,0.9286,1.0,1.0,0.06,0.7,0.5625,0.809,0.7,0.3,0.22,0.1275,0.3524,0.22,0.78,0.14,0.0695,0.2619,0.14,0.86,0.42,0.2937,0.5577,0.46,0.6,0.24,0.1669,0.3323,0.27,0.1927,0.3643,0.15,0.0931,0.2328,0.2,0.1334,0.2888,0.496,250
Qwen3_5_27b,on,all,minimal,tools,rtx,17137996,0.98,0.895,0.9965,1.0,0.1,0.8,0.6696,0.8876,0.8,0.2,0.32,0.2076,0.4581,0.32,0.68,0.14,0.0695,0.2619,0.16,0.86,0.46,0.3297,0.596,0.5,0.62,0.24,0.1669,0.3323,0.27,0.1927,0.3643,0.14,0.0853,0.2214,0.15,0.0931,0.2328,0.54,250
Qwen3_5_27b,on,per-task,guided,tools,rtx,17137996,0.96,0.8654,0.989,1.0,0.04,0.62,0.4815,0.7414,0.62,0.38,0.14,0.0695,0.2619,0.14,0.86,0.0,0.0,0.0714,0.0,1.0,0.34,0.2244,0.4785,0.42,0.68,0.2,0.1334,0.2888,0.2,0.1334,0.2888,0.11,0.0625,0.1863,0.14,0.0853,0.2214,0.41200000000000003,250
Qwen3_5_27b,on,per-task,minimal,tools,rtx,17137996,1.0,0.9286,1.0,1.0,0.0,0.74,0.6045,0.8413,0.78,0.22,0.14,0.0695,0.2619,0.14,0.86,0.16,0.0834,0.2851,0.18,0.84,0.32,0.2076,0.4581,0.5,0.68,0.22,0.15,0.3107,0.27,0.1927,0.3643,0.16,0.101,0.2442,0.16,0.101,0.2442,0.472,250
gemma4_31b,off,-,-,no-tools,rtx,17178998,0.44,0.3116,0.5769,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,50
gemma4_31b,off,all,guided,tools,rtx,17178994,1.0,0.9286,1.0,1.0,0.0,0.8,0.6696,0.8876,1.0,0.06,0.5,0.3664,0.6336,1.0,0.14,0.6,0.4618,0.7239,1.0,0.24,0.6,0.4618,0.7239,1.0,0.04,0.43,0.3373,0.5278,0.48,0.3846,0.5768,0.25,0.1755,0.343,0.15,0.0931,0.2328,0.7,250
gemma4_31b,off,all,minimal,tools,rtx,17178993,1.0,0.9286,1.0,1.0,0.02,0.8,0.6696,0.8876,1.0,0.0,0.5,0.3664,0.6336,1.0,0.12,0.6,0.4618,0.7239,1.0,0.26,0.6,0.4618,0.7239,1.0,0.0,0.39,0.3002,0.488,0.44,0.3467,0.5377,0.24,0.1669,0.3323,0.16,0.101,0.2442,0.7,250
gemma4_31b,off,per-task,guided,tools,rtx,17178992,1.0,0.9286,1.0,1.0,0.0,0.8,0.6696,0.8876,1.0,0.02,0.5,0.3664,0.6336,1.0,0.24,0.6,0.4618,0.7239,1.0,0.1,0.56,0.4231,0.6884,1.0,0.06,0.44,0.3467,0.5377,0.47,0.3751,0.5671,0.34,0.2546,0.4372,0.22,0.15,0.3107,0.692,250
gemma4_31b,off,per-task,minimal,tools,rtx,17178991,1.0,0.9286,1.0,1.0,0.0,0.8,0.6696,0.8876,1.0,0.1,0.5,0.3664,0.6336,1.0,0.1,0.6,0.4618,0.7239,1.0,0.18,0.62,0.4815,0.7414,1.0,0.06,0.43,0.3373,0.5278,0.47,0.3751,0.5671,0.32,0.2367,0.4166,0.19,0.1251,0.2778,0.704,250
gemma4_31b,on,all,guided,tools,rtx,17178990,0.98,0.895,0.9965,1.0,0.04,0.66,0.5215,0.7756,0.76,0.34,0.48,0.348,0.6149,0.7,0.52,0.2,0.1124,0.3304,0.38,0.88,0.44,0.3116,0.5769,1.0,0.58,0.26,0.184,0.3537,0.28,0.2014,0.3749,0.09,0.0481,0.1623,0.07,0.0343,0.1375,0.5519999999999999,250
gemma4_31b,on,all,minimal,tools,rtx,17135831,0.96,0.8654,0.989,0.98,0.04,0.66,0.5215,0.7756,0.9,0.34,0.46,0.3297,0.596,0.74,0.54,0.16,0.0834,0.2851,0.34,0.9,0.46,0.3297,0.596,0.92,0.52,0.27,0.1927,0.3643,0.28,0.2014,0.3749,0.1,0.0552,0.1744,0.06,0.0278,0.1248,0.54,250
gemma4_31b,on,per-task,guided,tools,rtx,17135831,1.0,0.9286,1.0,1.0,0.0,0.72,0.5833,0.8253,1.0,0.24,0.44,0.3116,0.5769,0.62,0.56,0.34,0.2244,0.4785,0.5,0.76,0.52,0.3851,0.652,0.84,0.52,0.32,0.2367,0.4166,0.31,0.2278,0.4063,0.17,0.1089,0.2555,0.07,0.0343,0.1375,0.604,250
gemma4_31b,on,per-task,minimal,tools,rtx,17135831,0.98,0.895,0.9965,1.0,0.04,0.7,0.5625,0.809,0.84,0.3,0.36,0.2414,0.4986,0.58,0.62,0.32,0.2076,0.4581,0.52,0.82,0.48,0.348,0.6149,0.96,0.52,0.3,0.2189,0.3959,0.35,0.2636,0.4475,0.19,0.1251,0.2778,0.1,0.0552,0.1744,0.568,250
gpt-oss_120b,off,-,-,no-tools,rtx,17178815,0.34,0.2244,0.4785,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,50
gpt-oss_120b,off,all,guided,tools,rtx,17135830,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.0,250
gpt-oss_120b,off,all,minimal,tools,rtx,17135830,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.0,250
gpt-oss_120b,off,per-task,guided,tools,rtx,17135830,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.0,250
gpt-oss_120b,off,per-task,minimal,tools,rtx,17135830,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,0.037,0.0,250
gpt-oss_120b,on,all,guided,tools,rtx,17178769,0.42,0.2937,0.5577,0.54,0.0,0.48,0.348,0.6149,0.48,0.0,0.44,0.3116,0.5769,0.48,0.0,0.18,0.0977,0.308,0.18,0.0,0.28,0.1747,0.4167,0.36,0.12,0.14,0.0853,0.2214,0.19,0.1251,0.2778,0.02,0.0055,0.07,0.06,0.0278,0.1248,0.36,250
gpt-oss_120b,on,all,minimal,tools,rtx,17135830,0.6,0.4618,0.7239,0.8,0.06,0.62,0.4815,0.7414,0.68,0.0,0.5,0.3664,0.6336,0.5,0.0,0.18,0.0977,0.308,0.18,0.0,0.26,0.1587,0.3955,0.36,0.12,0.15,0.0931,0.2328,0.13,0.0776,0.2098,0.08,0.0411,0.15,0.04,0.0157,0.0984,0.43200000000000005,250
gpt-oss_120b,on,per-task,guided,tools,rtx,17135830,0.92,0.8116,0.9685,0.96,0.0,0.64,0.5014,0.7586,0.7,0.0,0.48,0.348,0.6149,0.48,0.0,0.28,0.1747,0.4167,0.28,0.0,0.34,0.2244,0.4785,0.48,0.14,0.26,0.184,0.3537,0.26,0.184,0.3537,0.16,0.101,0.2442,0.11,0.0625,0.1863,0.532,250
gpt-oss_120b,on,per-task,minimal,tools,rtx,17135830,0.88,0.7619,0.9438,0.94,0.04,0.7,0.5625,0.809,0.72,0.0,0.5,0.3664,0.6336,0.5,0.0,0.12,0.0562,0.2381,0.18,0.02,0.3,0.191,0.4375,0.44,0.18,0.19,0.1251,0.2778,0.29,0.2101,0.3854,0.11,0.0625,0.1863,0.1,0.0552,0.1744,0.5,250
gpt-oss_20b,off,-,-,no-tools,rtx,17178996,0.16,0.0834,0.2851,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,50
gpt-oss_20b,off,all,guided,tools,rtx,17136415,0.34,0.2244,0.4785,0.64,0.34,0.3,0.191,0.4375,0.36,0.2,0.24,0.143,0.3741,0.28,0.28,0.06,0.0206,0.1622,0.12,0.26,0.08,0.0315,0.1884,0.22,0.4,0.07,0.0343,0.1375,0.07,0.0343,0.1375,0.01,0.0018,0.0545,0.0,0.0,0.037,0.20400000000000001,250
gpt-oss_20b,off,all,minimal,tools,rtx,17136415,0.36,0.2414,0.4986,0.48,0.36,0.3,0.191,0.4375,0.42,0.12,0.16,0.0834,0.2851,0.26,0.24,0.06,0.0206,0.1622,0.16,0.2,0.06,0.0206,0.1622,0.2,0.48,0.09,0.0481,0.1623,0.11,0.0625,0.1863,0.05,0.0215,0.1118,0.0,0.0,0.037,0.188,250
gpt-oss_20b,off,per-task,guided,tools,rtx,17136415,0.54,0.404,0.6703,0.74,0.22,0.54,0.404,0.6703,0.58,0.08,0.32,0.2076,0.4581,0.34,0.14,0.12,0.0562,0.2381,0.18,0.16,0.1,0.0435,0.2136,0.26,0.26,0.13,0.0776,0.2098,0.04,0.0157,0.0984,0.0,0.0,0.037,0.01,0.0018,0.0545,0.324,250
gpt-oss_20b,off,per-task,minimal,tools,rtx,17136415,0.62,0.4815,0.7414,0.68,0.2,0.46,0.3297,0.596,0.46,0.24,0.2,0.1124,0.3304,0.2,0.38,0.04,0.011,0.1346,0.1,0.52,0.08,0.0315,0.1884,0.18,0.5,0.09,0.0481,0.1623,0.07,0.0343,0.1375,0.03,0.0103,0.0845,0.0,0.0,0.037,0.28,250
gpt-oss_20b,on,all,guided,tools,rtx,17136415,0.5,0.3664,0.6336,0.66,0.2,0.64,0.5014,0.7586,0.66,0.04,0.34,0.2244,0.4785,0.38,0.02,0.16,0.0834,0.2851,0.24,0.08,0.12,0.0562,0.2381,0.44,0.36,0.13,0.0776,0.2098,0.1,0.0552,0.1744,0.02,0.0055,0.07,0.04,0.0157,0.0984,0.352,250
gpt-oss_20b,on,all,minimal,tools,rtx,17136415,0.44,0.3116,0.5769,0.56,0.28,0.66,0.5215,0.7756,0.68,0.08,0.4,0.2761,0.5382,0.46,0.06,0.12,0.0562,0.2381,0.18,0.04,0.12,0.0562,0.2381,0.28,0.06,0.11,0.0625,0.1863,0.12,0.07,0.1981,0.04,0.0157,0.0984,0.01,0.0018,0.0545,0.348,250
gpt-oss_20b,on,per-task,guided,tools,rtx,17136415,0.54,0.404,0.6703,0.68,0.2,0.68,0.5419,0.7924,0.68,0.0,0.5,0.3664,0.6336,0.5,0.0,0.2,0.1124,0.3304,0.28,0.06,0.2,0.1124,0.3304,0.42,0.38,0.15,0.0931,0.2328,0.06,0.0278,0.1248,0.01,0.0018,0.0545,0.01,0.0018,0.0545,0.42400000000000004,250
gpt-oss_20b,on,per-task,minimal,tools,rtx,17136415,0.66,0.5215,0.7756,0.76,0.18,0.62,0.4815,0.7414,0.7,0.08,0.4,0.2761,0.5382,0.42,0.0,0.18,0.0977,0.308,0.18,0.0,0.16,0.0834,0.2851,0.28,0.38,0.11,0.0625,0.1863,0.04,0.0157,0.0984,0.0,0.0,0.037,0.0,0.0,0.037,0.404,250
